loggingSample(N),accelerometerAccelerationX(G),SQR_accelerometerAccelerationX(G),accelerometerAccelerationY(G),SQR_accelerometerAccelerationY(G),accelerometerAccelerationZ(G),SQR_accelerometerAccelerationZ(G),TOTAL_ACCELERATION,accelerometerTimestamp_sinceReboot(s),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84)
19312,0.186950684,0.034950558,0.841995239,0.708955982,-0.299087524,0.089453347,0.912885474,1375745.597,1537499655,37.81577811,-122.2640958
19313,0.256820679,0.065956861,0.904129028,0.817449299,-0.270401001,0.073116701,0.978019868,1375745.656,1537499655,37.81577811,-122.2640958
19314,0.253692627,0.064359949,0.822372437,0.676296425,-0.107406616,0.011536181,0.867290352,1375745.716,1537499655,37.81577811,-122.2640958
19315,0.319076538,0.101809837,0.946075439,0.895058736,-0.293731689,0.086278305,1.040743426,1375745.776,1537499655,37.81577811,-122.2640958
19316,0.335266113,0.112403367,0.941421509,0.886274458,-0.206726074,0.04273567,1.02049669,1375745.835,1537499655,37.81577811,-122.2640958
19317,0.264663696,0.070046872,0.788101196,0.621103495,-0.222457886,0.049487511,0.860603206,1375745.895,1537499655,37.81577811,-122.2640958
19318,0.306472778,0.093925564,0.969741821,0.940399199,-0.175445557,0.030781143,1.032039683,1375745.954,1537499655,37.81577811,-122.2640958
19319,0.242080688,0.05860306,0.84362793,0.711708084,-0.241165161,0.058160635,0.910204251,1375746.014,1537499655,37.81577811,-122.2640958
19320,0.248214722,0.061610548,0.92980957,0.864545836,-0.156402588,0.02446177,0.974996489,1375746.074,1537499655,37.81577811,-122.2640958
19321,0.310821533,0.096610025,1.176818848,1.384902601,-0.308624268,0.095248939,1.255691668,1375746.133,1537499655,37.81577811,-122.2640958
19322,0.177429199,0.031481121,0.886871338,0.78654077,-0.03187561,0.001016055,0.905007152,1375746.193,1537499655,37.81577811,-122.2640958
19323,0.161529541,0.026091793,0.847885132,0.718909197,-0.163757324,0.026816461,0.878531417,1375746.253,1537499655,37.81577811,-122.2640958
19324,0.288330078,0.083134234,0.963653564,0.928628191,-0.33821106,0.114386721,1.061201746,1375746.312,1537499655,37.81577811,-122.2640958
